model,Swahili
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-30,13.131313131313133
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-60,25.252525252525253
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-90,35.35353535353536
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-120,34.34343434343434
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-150,34.34343434343434
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-180,37.37373737373738
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-210,44.44444444444444
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-240,37.37373737373738
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-270,40.4040404040404
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-300,48.484848484848484
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-330,43.43434343434344
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-360,41.41414141414141
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-english-behaviors-swahili-s1k-full-sft_checkpoint-372,43.43434343434344
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-30,30.303030303030305
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-60,37.37373737373738
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-90,38.38383838383838
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-120,40.4040404040404
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-150,43.43434343434344
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-180,38.38383838383838
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-210,58.58585858585859
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-240,47.474747474747474
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-270,47.474747474747474
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-300,53.535353535353536
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-330,52.52525252525253
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-360,48.484848484848484
_scratch_current_sanjayss_josh_experiments_Qwen2.5-7B-swahili-behaviors-swahili-s1k-full-sft_checkpoint-372,50.505050505050505
